ZIP,city,state_id,state_name,MSA_Name,UHII
2125,Dorchester,MA,Massachusetts,,6.67321566703869
2126,Mattapan,MA,Massachusetts,,6.78060221195919
2127,South Boston,MA,Massachusetts,,5.14763474063419
2128,East Boston,MA,Massachusetts,,4.67543154949634
2129,Charlestown,MA,Massachusetts,,6.9353701319593
2130,Jamaica Plain,MA,Massachusetts,,5.93183532077494
2131,Roslindale,MA,Massachusetts,,5.87366094354005
2132,West Roxbury,MA,Massachusetts,,4.94028847292015
2134,Allston,MA,Massachusetts,,8.87799438026923
2135,Brighton,MA,Massachusetts,,7.77528588670989
2136,Hyde Park,MA,Massachusetts,,5.36281932518326
2138,Cambridge,MA,Massachusetts,,7.39109778492251
2139,Cambridge,MA,Massachusetts,,8.2088556419025
2140,Cambridge,MA,Massachusetts,,7.70257156758371
2141,Cambridge,MA,Massachusetts,,9.17921768456493
2142,Cambridge,MA,Massachusetts,,8.14558086302278
2143,Somerville,MA,Massachusetts,,9.20830165844451
2144,Somerville,MA,Massachusetts,,8.46791009712456
2145,Somerville,MA,Massachusetts,,8.64013664801263
2148,Malden,MA,Massachusetts,,7.33288915662245
2149,Everett,MA,Massachusetts,,8.87052107878967
2150,Chelsea,MA,Massachusetts,,8.07369722825599
2151,Revere,MA,Massachusetts,,4.76370469755673
2152,Winthrop,MA,Massachusetts,,0.801451234096702
2155,Medford,MA,Massachusetts,,6.45685345943491
2163,Boston,MA,Massachusetts,,7.981273446
2169,Quincy,MA,Massachusetts,,3.67324691818661
2170,Quincy,MA,Massachusetts,,4.63967801426327
2171,Quincy,MA,Massachusetts,,2.53959913300962
2176,Melrose,MA,Massachusetts,,3.53760711500049
2180,Stoneham,MA,Massachusetts,,4.26849351680289
2184,Braintree,MA,Massachusetts,,3.78512925418334
2186,Milton,MA,Massachusetts,,3.64575154498807
2188,Weymouth,MA,Massachusetts,,3.19749658191889
2189,East Weymouth,MA,Massachusetts,,2.64800241837138
2190,South Weymouth,MA,Massachusetts,,1.88081584727319
2191,North Weymouth,MA,Massachusetts,,0.0012300452281757
2199,Boston,MA,Massachusetts,,5.76398955
2205,Boston,MA,Massachusetts,,5.401936824
2210,Boston,MA,Massachusetts,,5.41334977632377
2215,Boston,MA,Massachusetts,,7.21260422632458
2301,Brockton,MA,Massachusetts,,5.8590398605487
2302,Brockton,MA,Massachusetts,,4.14753671215664
2322,Avon,MA,Massachusetts,,2.92986067776282
2324,Bridgewater,MA,Massachusetts,,0.626095910346426
2330,Carver,MA,Massachusetts,,0.367793175998623
2332,Duxbury,MA,Massachusetts,,-1.25162860443722
2333,East Bridgewater,MA,Massachusetts,,0.412184006286421
2338,Halifax,MA,Massachusetts,,-0.974443206704611
2339,Hanover,MA,Massachusetts,,0.516125931445889
2341,Hanson,MA,Massachusetts,,-0.584405539194795
2343,Holbrook,MA,Massachusetts,,1.32913633731079
2346,Middleboro,MA,Massachusetts,,0.280176013136233
2347,Lakeville,MA,Massachusetts,,-0.951346213357145
2350,Monponsett,MA,Massachusetts,,-0.472912863
2351,Abington,MA,Massachusetts,,1.01580095776619
