ZIP,city,state_id,state_name,population,density,MSA_Name,UHII
92584,Menifee,CA,California,57551.0,763.4,"Riverside-San Bernardino-Ontario, CA",0.795081232879721
92585,Menifee,CA,California,29500.0,665.9,"Riverside-San Bernardino-Ontario, CA",1.97491133983334
92586,Menifee,CA,California,19391.0,1160.9,"Riverside-San Bernardino-Ontario, CA",2.1548579459939
92587,Menifee,CA,California,18382.0,992.1,"Riverside-San Bernardino-Ontario, CA",0.798100986683732
92590,Temecula,CA,California,5108.0,36.3,"Riverside-San Bernardino-Ontario, CA",-4.49649508457807
92591,Temecula,CA,California,41673.0,934.1,"Riverside-San Bernardino-Ontario, CA",-2.4196614752152
92592,Temecula,CA,California,80933.0,283.7,"Riverside-San Bernardino-Ontario, CA",-4.05505755739649
92595,Wildomar,CA,California,34505.0,618.8,"Riverside-San Bernardino-Ontario, CA",-0.337892754482332
92596,Winchester,CA,California,36725.0,244.7,"Riverside-San Bernardino-Ontario, CA",-0.0882417785847697
92602,Irvine,CA,California,27358.0,699.2,,1.06776538395158
92603,Irvine,CA,California,19264.0,744.8,,-2.24743759426712
92604,Irvine,CA,California,27750.0,3200.6,,0.863389075916379
92606,Irvine,CA,California,24499.0,2740.9,,1.48185856854708
92610,Foothill Ranch,CA,California,13182.0,1259.6,,2.87846881195056
92612,Irvine,CA,California,33706.0,2034.9,,-1.77730433339775
92614,Irvine,CA,California,29617.0,2578.6,,-0.143616315951665
92618,Irvine,CA,California,62296.0,1162.4,,1.42809976782792
92620,Irvine,CA,California,61744.0,4033.7,,1.46246158932304
92624,Capistrano Beach,CA,California,6685.0,1717.8,,-0.52562303061509
92625,Corona Del Mar,CA,California,12328.0,1859.5,,-4.60389332421038
92626,Costa Mesa,CA,California,50569.0,2012.1,,0.203973243455607
92627,Costa Mesa,CA,California,60751.0,3666.0,,-1.0702858959306
92629,Dana Point,CA,California,26198.0,1998.3,,-2.30289870344844
92630,Lake Forest,CA,California,66461.0,2435.2,,4.19053149404418
92646,Huntington Beach,CA,California,55814.0,2676.8,,-1.07268247847118
92647,Huntington Beach,CA,California,58794.0,3012.1,,0.0174529174442878
92648,Huntington Beach,CA,California,45521.0,2184.1,,-2.09314422034123
92649,Huntington Beach,CA,California,35504.0,2430.1,,-3.25658743624194
92651,Laguna Beach,CA,California,23477.0,411.0,,-3.81136487402082
92653,Laguna Hills,CA,California,29596.0,1649.7,,3.3625451248788
92655,Midway City,CA,California,8101.0,3463.5,,1.36178968513307
92656,Aliso Viejo,CA,California,52645.0,2541.3,,1.44557220217414
92657,Newport Coast,CA,California,10224.0,475.6,,-5.10411194251525
92660,Newport Beach,CA,California,34788.0,1398.2,,-3.65242617550375
92661,Newport Beach,CA,California,3095.0,1835.5,,-6.28199474
92662,Newport Beach,CA,California,2285.0,4236.2,,-6.608536161
92663,Newport Beach,CA,California,21584.0,2532.3,,-3.17222578703393
92672,San Clemente,CA,California,37470.0,406.8,,-2.1470225190073
92673,San Clemente,CA,California,29828.0,1117.6,,-0.29765675295359
92675,San Juan Capistrano,CA,California,34998.0,1009.5,,0.236859134547281
92676,Silverado,CA,California,1967.0,10.9,,2.27813992348275
92677,Laguna Niguel,CA,California,64023.0,1503.0,,-0.0409404079547119
92678,Trabuco Canyon,CA,California,668.0,6.8,,0.772131923
92679,Trabuco Canyon,CA,California,30966.0,474.9,,2.34179898981528
92683,Westminster,CA,California,90140.0,3580.5,,1.49072315882017
92688,Rancho Santa Margarita,CA,California,43937.0,1283.2,,2.82477085501434
92691,Mission Viejo,CA,California,46618.0,2050.7,,4.13579737994064
92692,Mission Viejo,CA,California,46568.0,2092.1,,2.81932180335625
92694,Ladera Ranch,CA,California,35019.0,336.7,,1.05183028878709
92701,Santa Ana,CA,California,48272.0,5779.9,,2.51289623379023
92703,Santa Ana,CA,California,62223.0,5663.6,,2.43413459350217
92704,Santa Ana,CA,California,80408.0,4191.3,,2.10141935661302
92705,Santa Ana,CA,California,48680.0,1594.7,,1.94567870774443
92706,Santa Ana,CA,California,37191.0,4056.5,,1.94028610205949
92707,Santa Ana,CA,California,59213.0,4375.6,,2.3202105744655
92708,Fountain Valley,CA,California,56358.0,2390.5,,0.397888368141425
92780,Tustin,CA,California,54495.0,3353.4,,2.7913492188313
92782,Tustin,CA,California,29947.0,2236.5,,1.31276201783202
92801,Anaheim,CA,California,61218.0,3758.0,,3.39769856286572
92802,Anaheim,CA,California,43698.0,3705.8,,3.33626374817733
92804,Anaheim,CA,California,83435.0,4521.4,,2.96976543669243
92805,Anaheim,CA,California,74336.0,4610.5,,3.87651325458908
92806,Anaheim,CA,California,40528.0,2036.6,,4.17548514573994
92807,Anaheim,CA,California,37270.0,1314.1,,1.33911010627778
92808,Anaheim,CA,California,20829.0,1608.4,,0.725491013297165
92821,Brea,CA,California,42196.0,1152.9,,3.1903598798352
92823,Brea,CA,California,5141.0,266.2,,2.75485471538781
92831,Fullerton,CA,California,35831.0,2325.5,,2.56630331025132
92832,Fullerton,CA,California,26364.0,3515.9,,3.28726665164334
92833,Fullerton,CA,California,52038.0,2620.6,,2.65782556058464
92835,Fullerton,CA,California,26753.0,1805.5,,2.08710939455583
92840,Garden Grove,CA,California,54475.0,4084.9,,2.88387103626789
92841,Garden Grove,CA,California,33514.0,2838.2,,2.55382767437755
92843,Garden Grove,CA,California,46553.0,4538.8,,2.53634790537192
92844,Garden Grove,CA,California,22719.0,4177.5,,2.30057647810938
92845,Garden Grove,CA,California,15484.0,2683.3,,1.3198506030839
92860,Norco,CA,California,25268.0,691.1,"Riverside-San Bernardino-Ontario, CA",-2.54321141864642
92861,Villa Park,CA,California,5776.0,1066.7,,1.21132613066207
92865,Orange,CA,California,20897.0,2107.4,,3.26178570924247
92866,Orange,CA,California,14776.0,2992.8,,2.61918355672023
92867,Orange,CA,California,44003.0,1415.5,,2.42002420934063
92868,Orange,CA,California,27390.0,3074.8,,3.06720256000933
92869,Orange,CA,California,36684.0,1051.4,,1.52830577538756
92870,Placentia,CA,California,52384.0,3006.1,,3.45244826504971
92879,Corona,CA,California,48756.0,1915.5,"Riverside-San Bernardino-Ontario, CA",-2.05887495256559
92880,Eastvale,CA,California,75453.0,1113.4,"Riverside-San Bernardino-Ontario, CA",-1.45628129975975
92881,Corona,CA,California,29986.0,356.9,"Riverside-San Bernardino-Ontario, CA",-3.25349805569464
92882,Corona,CA,California,69385.0,2279.6,"Riverside-San Bernardino-Ontario, CA",-4.31307535543921
92883,Corona,CA,California,39071.0,267.2,"Riverside-San Bernardino-Ontario, CA",-2.90810948756664
92886,Yorba Linda,CA,California,49919.0,1486.8,,2.10603467832872
92887,Yorba Linda,CA,California,19985.0,683.7,,1.19167553431266
93001,Ventura,CA,California,31885.0,127.5,"Oxnard-Thousand Oaks-Ventura, CA",-1.57759837404778
93003,Ventura,CA,California,52511.0,975.4,"Oxnard-Thousand Oaks-Ventura, CA",0.288300027005181
93004,Ventura,CA,California,31326.0,1720.7,"Oxnard-Thousand Oaks-Ventura, CA",0.238997125411632
93010,Camarillo,CA,California,46715.0,820.9,"Oxnard-Thousand Oaks-Ventura, CA",1.55026332786971
93012,Camarillo,CA,California,36007.0,277.3,"Oxnard-Thousand Oaks-Ventura, CA",0.879952982653584
93021,Moorpark,CA,California,37702.0,304.6,"Oxnard-Thousand Oaks-Ventura, CA",1.46555562370128
93022,Oak View,CA,California,5929.0,729.3,"Oxnard-Thousand Oaks-Ventura, CA",1.69473591284371
93023,Ojai,CA,California,21559.0,31.2,"Oxnard-Thousand Oaks-Ventura, CA",2.52911813105295
93030,Oxnard,CA,California,58573.0,1602.5,"Oxnard-Thousand Oaks-Ventura, CA",2.41666620270046
93033,Oxnard,CA,California,80482.0,965.2,"Oxnard-Thousand Oaks-Ventura, CA",2.46999177887202
93035,Oxnard,CA,California,26476.0,2032.8,"Oxnard-Thousand Oaks-Ventura, CA",-0.374490476519574
93041,Port Hueneme,CA,California,23179.0,1522.2,"Oxnard-Thousand Oaks-Ventura, CA",0.989602580500021
93060,Santa Paula,CA,California,34640.0,144.7,"Oxnard-Thousand Oaks-Ventura, CA",-1.62350027183748
93063,Simi Valley,CA,California,56110.0,599.0,"Oxnard-Thousand Oaks-Ventura, CA",1.04113101649624
93065,Simi Valley,CA,California,72585.0,940.4,"Oxnard-Thousand Oaks-Ventura, CA",0.474855359292294
93066,Somis,CA,California,2979.0,27.3,"Oxnard-Thousand Oaks-Ventura, CA",1.36883451633209
93215,Delano,CA,California,53627.0,142.3,"Bakersfield-Delano, CA",-1.01196964692598
93241,Lamont,CA,California,15571.0,1190.9,"Bakersfield-Delano, CA",-3.04148132737411
93301,Bakersfield,CA,California,14026.0,1263.7,"Bakersfield-Delano, CA",-0.0422091021945017
93304,Bakersfield,CA,California,51457.0,2658.3,"Bakersfield-Delano, CA",0.403384986669106
93305,Bakersfield,CA,California,36998.0,2469.1,"Bakersfield-Delano, CA",-0.112475499415918
93306,Bakersfield,CA,California,73370.0,291.0,"Bakersfield-Delano, CA",0.634366769992526
93307,Bakersfield,CA,California,88233.0,241.3,"Bakersfield-Delano, CA",0.312821346444125
93308,Bakersfield,CA,California,55788.0,62.5,"Bakersfield-Delano, CA",-0.0439519326330737
93309,Bakersfield,CA,California,63989.0,2363.9,"Bakersfield-Delano, CA",-0.621203456368245
93311,Bakersfield,CA,California,52505.0,95.2,"Bakersfield-Delano, CA",-1.67215979586474
93312,Bakersfield,CA,California,58265.0,1587.4,"Bakersfield-Delano, CA",-1.49810789618496
93313,Bakersfield,CA,California,60331.0,231.6,"Bakersfield-Delano, CA",0.211759747683847
93534,Lancaster,CA,California,42290.0,861.3,,-0.454275331909128
93535,Lancaster,CA,California,80478.0,130.0,,0.290712323466989
93536,Lancaster,CA,California,72013.0,109.3,,-0.291212179677105
93543,Littlerock,CA,California,12217.0,69.7,,0.0787743164020808
93550,Palmdale,CA,California,79929.0,119.0,,-0.982298246308902
93551,Palmdale,CA,California,54956.0,250.4,,-2.28068414423432
93552,Palmdale,CA,California,43903.0,441.0,,-1.17670815876283
93591,Palmdale,CA,California,7531.0,39.1,,1.2103152081676
93611,Clovis,CA,California,46631.0,1747.4,"Fresno, CA",0.721492283589252
93612,Clovis,CA,California,37790.0,2162.1,"Fresno, CA",0.933074883494795
93650,Fresno,CA,California,2969.0,1834.4,"Fresno, CA",-1.44236780527667
93657,Sanger,CA,California,36536.0,62.5,"Fresno, CA",0.70752179151022
93701,Fresno,CA,California,10258.0,2604.1,"Fresno, CA",1.48918092366448
93702,Fresno,CA,California,45241.0,3378.4,"Fresno, CA",1.46039890733336
93703,Fresno,CA,California,34166.0,2770.8,"Fresno, CA",1.45280582973222
93704,Fresno,CA,California,29172.0,2087.1,"Fresno, CA",-0.307630739353058
93705,Fresno,CA,California,37940.0,3011.1,"Fresno, CA",0.489081535753662
93706,Fresno,CA,California,40635.0,99.0,"Fresno, CA",0.780689283858552
93710,Fresno,CA,California,32579.0,2037.9,"Fresno, CA",0.625164727806706
93711,Fresno,CA,California,39360.0,1354.9,"Fresno, CA",-2.03532497625156
93720,Fresno,CA,California,49463.0,1829.1,"Fresno, CA",-0.742154315527003
93721,Fresno,CA,California,7606.0,1438.9,"Fresno, CA",1.82056019933798
93722,Fresno,CA,California,84500.0,1690.5,"Fresno, CA",0.183649722750605
93725,Fresno,CA,California,25520.0,147.1,"Fresno, CA",1.27515579802229
93726,Fresno,CA,California,44766.0,2708.6,"Fresno, CA",0.862710783214774
93727,Fresno,CA,California,83630.0,1469.3,"Fresno, CA",1.17307283824765
93728,Fresno,CA,California,18077.0,2294.3,"Fresno, CA",0.804679503860914
94002,Belmont,CA,California,27730.0,1903.6,,2.65086842597382
94005,Brisbane,CA,California,4718.0,397.7,,-2.844847692
94010,Burlingame,CA,California,42794.0,1093.0,,0.857343935642428
94014,Daly City,CA,California,46269.0,2795.1,,-1.42941258089777
94015,Daly City,CA,California,64121.0,4377.5,,-2.72300322031579
94022,Los Altos,CA,California,19993.0,435.7,"San Jose-Sunnyvale-Santa Clara, CA",-0.186350556350232
94024,Los Altos,CA,California,23673.0,1104.8,"San Jose-Sunnyvale-Santa Clara, CA",0.230298554566854
94025,Menlo Park,CA,California,40230.0,1856.8,,3.54633062632963
94027,Atherton,CA,California,7030.0,540.0,,2.64580353653274
94028,Portola Valley,CA,California,6645.0,148.1,,1.1608503316069
94030,Millbrae,CA,California,22589.0,2584.7,,1.25119436134313
94040,Mountain View,CA,California,35581.0,3753.5,"San Jose-Sunnyvale-Santa Clara, CA",1.31516926118083
94041,Mountain View,CA,California,15841.0,3844.2,"San Jose-Sunnyvale-Santa Clara, CA",1.31943367416118
94043,Mountain View,CA,California,32042.0,1462.7,"San Jose-Sunnyvale-Santa Clara, CA",0.552606976611607
94044,Pacifica,CA,California,37540.0,960.7,,-5.08113228168772
94061,Redwood City,CA,California,37369.0,3736.9,,6.82357923371346
